id	lane	wave	status	depends_on	owned_paths	mission	checkpoint	escalate_if
H000	brain	W0	done	-	CLAUDE.md,HARE.md,HARE_ORCHESTRATOR_HANDOFF.md,HARE_WORKSTREAMS.md,HARE_TASKS.tsv	Define the closed-world Hare mission and labour model	Documentation consistency check	Product semantics change
H001	slave	W0	done	H000	scripts/hare/,tmp/hare-baseline/	Capture toolchains, upstream debug behavior, incremental rebuild resources, and disk use	One upstream debug build plus one warm incremental edit; no release build	The workstation cannot sustain the debug build
H002	brain	W0	done	H000	docs/hare/SEMANTICS.md	Specify defined behavior, compile errors, UB, static eval, static imports, and runtime-code-generation rejection	Reviewed examples cover each semantic category	Pinned specifications conflict
H003	brain	W0	done	H000	docs/hare/COMPILER.md	Specify the direct UnlinkedCodeBlock hook, Hare IR, runtime ABI, and build-time-only JSC boundary	Mission packet is sufficient for independent hook, IR, and backend workers	The hook requires mutable JSC execution state
H004	brain	W0	done	H000	docs/hare/MEMORY.md,LIFETIMES.tsv	Specify generalized inference, explicit contracts, regions, lifetimes, and pinning	Ownership and pin examples cover sync, async, Effect, FFI, and cross-thread cases	A rule cannot be represented as proof, guard, hint, or unknown
H005	brain	W0	done	H000	HARE.md,package.json,bun.lock,docs/hare/EFFECT.md,scripts/hare/generate-effect-manifest.py,scripts/hare/README.md,generated/hare/effect-3.22.0.manifest.json	Map the complete pinned Effect implementation to generic and specialized Hare semantics	All Effect runtime domains have representations and owners	Any public Effect behavior would require a whitelist subset
H006	slave	W0	done	H003	OPCODES.tsv,scripts/hare/,generated/hare/	Generate the complete JSC instruction and metadata inventory	Inventory generator agrees with the pinned JSC definitions	An opcode family has no single source of truth
H007	slave	W0	done	H003	PORTING.md	Serialize repeated JSC-to-Hare mappings and implementation templates	Two adversarial reviews find no ambiguous mapping	A mapping changes shared IR or ABI semantics
H008	brain	W1	ready	H003	src/jsc/bindings/,src/jsc/	Hijack the live UnlinkedCodeBlock path and expose a safe Rust build-time handle	Debug build reaches the hook without serializing the Hare artifact	GC, exception, or code-block lifetime is unresolved
H009	slave	W1	ready	H003	src/hare_ir/	Build the Hare IR crates using api.rs, abstract.rs, and impl splits	Structural convergence batch with H008 and H010	The implementation needs to change shared IR semantics
H010	brain	W1	ready	H003	src/hare_llvm/,scripts/build/	Emit toolchain-compatible LLVM bitcode and register linked native entries	One debug-linked native function executes	LLVM layout, version, or LTO-unit assumptions disagree
H011	slave	W1	ready	H003,H004	src/hare_analysis/	Implement the proof, guard, hint, unknown lattice and whole-program dataflow skeleton	Structural convergence batch with H009	Analysis cannot express a required fact or merge
H012	slave	W2	blocked	H006,H007,H009	generated/hare/control/,src/hare_frontend/impl/control/	Own control flow, locals, phi, switch, loop, and return instruction families	Tier 1 inventory coverage; build deferred to W3	JSC semantics require a shared IR change
H013	slave	W2	blocked	H006,H007,H009	generated/hare/numeric/,src/hare_frontend/impl/numeric/	Own numeric, bigint, comparison, coercion, and conversion instruction families	Tier 1 inventory coverage; build deferred to W3	Numeric edge behavior is undefined by the accepted spec
H014	slave	W2	blocked	H006,H007,H009	generated/hare/object/,src/hare_frontend/impl/object/	Own object, property, prototype, array, string, symbol, and shape instruction families	Tier 1 inventory coverage; build deferred to W3	A runtime helper contract is missing
H015	slave	W2	blocked	H006,H007,H009	generated/hare/function/,src/hare_frontend/impl/function/	Own calls, constructors, closures, environments, generators, and async functions	Tier 1 inventory coverage; build deferred to W3	Closure or continuation layout needs brain review
H016	slave	W2	blocked	H006,H007,H009	generated/hare/exception/,src/hare_frontend/impl/exception/	Own throws, catches, finally, promise rejection, and abrupt completion	Tier 1 inventory coverage; build deferred to W3	Exception state cannot be reconstructed natively
H017	slave	W2	blocked	H002,H006,H009	src/hare_frontend/impl/module/	Own modules, static dynamic imports, literal eval, and literal Function compilation	Tier 1 inventory coverage; dynamic runtime source fails compilation	A module or source target is not closed-world
H018	slave	W2	blocked	H009,H010	src/hare_runtime/	Implement complete generic native Tier 1 helpers with optimizer-visible checks	Runtime helper inventory coverage; build deferred to W3	A helper hides a check or state transition from LLVM
H019	slave	W2	blocked	H004,H011	src/hare_memory/	Implement inferred and explicit ownership, borrow, region, lifetime, copy, move, and pin semantics	Memory inventory coverage; adversarial review before convergence	A contract cannot be independently verified
H020	slave	W2	blocked	H005,H009,H018	src/hare_effect/	Lower the complete reachable Effect implementation and expose Effect-aware IR	Every Effect runtime domain has Tier 1 lowering; no subset list	Any Effect domain would require JSC execution
